time,ecg
741.0,-120480.14285714284
743.0,-120492.99999999997
745.0,-120488.42857142857
747.0,-120467.28571428572
749.0,-120447.71428571429
751.0,-120440.57142857142
753.0,-120432.28571428571
755.0,-120401.42857142855
757.0,-120345.71428571428
759.0,-120291.2857142857
761.0,-120270.85714285713
763.0,-120284.99999999999
765.0,-120292.42857142855
767.0,-120260.85714285713
769.0,-120215.28571428571
771.0,-120204.71428571428
772.98,-120231.28571428571
774.95,-120245.14285714286
776.93,-120212.14285714286
778.9,-120161.28571428571
780.9,-120149.71428571428
782.9,-120187.2857142857
784.9,-120221.57142857142
786.9,-120205.28571428571
788.9,-120156.42857142857
790.9,-120129.42857142857
792.9,-120142.99999999999
794.9,-120160.14285714286
796.9,-120141.71428571428
798.9,-120099.57142857142
800.9,-120082.2857142857
802.9,-120112.14285714284
804.9,-120158.14285714284
806.9,-120175.85714285713
808.9,-120154.85714285713
810.9,-120121.14285714284
812.9,-120107.99999999999
814.9,-120123.14285714284
816.9,-120139.71428571426
818.9,-120129.42857142855
820.9,-120105.57142857143
822.9,-120112.0
824.9,-120162.42857142858
826.9,-120213.42857142858
828.9,-120213.14285714286
830.9,-120164.85714285714
832.9,-120121.57142857142
834.9,-120119.28571428571
836.9,-120135.71428571428
838.9,-120126.57142857142
840.9,-120091.0
842.9,-120077.85714285714
844.9,-120120.42857142858
846.9,-120187.14285714286
848.9,-120217.99999999997
850.9,-120198.2857142857
852.88,-120173.14285714284
854.85,-120189.42857142855
856.83,-120241.42857142855
858.8,-120280.99999999999
860.8,-120281.28571428571
862.8,-120278.0
864.8,-120327.85714285713
866.8,-120427.28571428571
868.8,-120510.14285714286
870.8,-120534.85714285714
872.8,-120535.14285714286
874.8,-120563.71428571428
876.8,-120619.14285714284
878.8,-120656.14285714284
880.8,-120649.57142857142
882.8,-120620.99999999997
884.8,-120605.5714285714
886.8,-120613.99999999999
888.8,-120630.14285714284
890.8,-120632.28571428571
892.8,-120614.71428571429
894.8,-120598.71428571428
896.8,-120615.57142857142
898.8,-120665.85714285714
900.8,-120710.42857142857
902.8,-120718.71428571429
904.8,-120708.57142857142
906.8,-120718.57142857142
908.8,-120754.28571428571
910.8,-120779.85714285716
912.8,-120763.0
914.8,-120719.0
916.8,-120698.71428571428
918.8,-120727.0
920.8,-120767.57142857142
922.8,-120770.85714285713
924.8,-120742.85714285713
926.8,-120735.42857142855
928.8,-120770.42857142855
930.7,-120805.2857142857
932.7,-120791.14285714284
934.7,-120740.42857142855
936.7,-120704.71428571426
938.7,-120702.42857142857
940.7,-120705.42857142855
942.7,-120688.85714285713
944.7,-120658.85714285713
946.7,-120633.71428571426
948.7,-120627.14285714284
950.7,-120642.99999999999
952.7,-120660.42857142855
954.7,-120644.71428571429
956.7,-120596.0
958.7,-120561.85714285714
960.7,-120579.28571428571
962.7,-120623.71428571428
964.7,-120641.85714285713
966.7,-120625.85714285714
968.7,-120624.57142857142
970.7,-120672.71428571426
972.7,-120736.14285714284
974.7,-120752.2857142857
976.7,-120717.42857142855
978.7,-120697.14285714284
980.7,-120738.0
982.7,-120804.14285714284
984.7,-120829.71428571428
986.7,-120810.14285714286
988.7,-120801.7142857143
990.7,-120837.14285714286
992.7,-120883.28571428571
994.7,-120890.99999999999
996.7,-120858.28571428571
998.7,-120827.57142857142
1000.7,-120833.85714285713
1002.7,-120867.2857142857
1004.7,-120889.99999999999
1006.7,-120883.57142857142
1008.7,-120868.71428571429
1010.6,-120873.99999999999
1012.6,-120898.57142857143
1014.6,-120916.57142857143
1016.6,-120909.85714285714
1018.6,-120885.85714285713
1020.6,-120866.42857142855
1022.6,-120870.57142857142
1024.6,-120899.71428571429
1026.6,-120932.71428571429
1028.6,-120944.0
1030.6,-120939.42857142857
1032.6,-120953.99999999999
1034.6,-120999.28571428571
1036.6,-121032.85714285713
1038.6,-121011.57142857142
1040.6,-120958.2857142857
1042.6,-120937.85714285713
1044.6,-120968.99999999999
1046.6,-120999.57142857142
1048.6,-120981.42857142857
1050.6,-120938.28571428571
1052.6,-120930.85714285713
1054.6,-120969.85714285714
1056.6,-121000.99999999999
1058.6,-120981.2857142857
1060.6,-120936.85714285713
1062.6,-120920.14285714284
1064.6,-120935.57142857142
1066.6,-120939.42857142857
1068.6,-120904.99999999999
1070.6,-120853.42857142857
1072.6,-120818.85714285714
